Category,Difficulty,Problem,Link,date
Greedy,Easy,Best Time To Buy And Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,2022-03-30 19:17:19
Greedy,Medium,Task Scheduler,https://leetcode.com/problems/task-scheduler/,2022-03-30 19:17:19
Greedy,Medium,Reorganize String,https://leetcode.com/problems/reorganize-string/,2022-03-30 19:17:19
Greedy,Hard,Course Schedule Iii,https://leetcode.com/problems/course-schedule-iii/,2022-03-30 19:17:19
Design,Easy,Problems,https://leetcode.com/problems/implement-stack-using-queues,2022-03-31 18:17:48
Design,Easy,Problems,https://leetcode.com/problems/implement-queue-using-stacks,2022-03-31 18:17:48
Design,Medium,Problems,https://leetcode.com/problems/lru-cache,2022-03-31 18:17:48
Design,Medium,Implement Trie Prefix Tree,https://leetcode.com/problems/implement-trie-prefix-tree/,2022-03-31 18:17:48
Design,Hard,Serialize And Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,2022-03-31 18:17:48
Linked list reversals,Easy,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/,2022-04-02 10:21:46
Linked list reversals,Medium,Reverse Linked List Ii,https://leetcode.com/problems/reverse-linked-list-ii/,2022-04-02 10:21:46
Linked list reversals,Medium,Odd Even Linked List,https://leetcode.com/problems/odd-even-linked-list/,2022-04-02 10:21:46
Linked list reversals,Hard,Reverse Nodes In K Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,2022-04-02 10:21:46
Stack,Easy,Min Stack,https://leetcode.com/problems/min-stack/,2022-04-05 02:37:46
Stack,Medium,Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation/,2022-04-05 02:37:46
Stack,Medium,Car Fleet,https://leetcode.com/problems/car-fleet/,2022-04-05 02:37:46
Stack,Hard,Largest Rectangle In Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,2022-04-05 02:37:46
Math,Easy,Happy Number,https://leetcode.com/problems/happy-number/,2022-04-05 18:41:35
Math,Medium,Powx N,https://leetcode.com/problems/powx-n/,2022-04-05 18:41:35
Math,Medium,Multiply Strings,https://leetcode.com/problems/multiply-strings/,2022-04-05 18:41:35
Math,Medium,Detect Squares,https://leetcode.com/problems/detect-squares/,2022-04-05 18:41:35
Intervals,Medium,Insert Interval,https://leetcode.com/problems/insert-interval/,2022-04-06 19:35:18
Intervals,Medium,Merge Intervals,https://leetcode.com/problems/merge-intervals/,2022-04-06 19:35:18
Intervals,Hard,Minimum Interval To Include Each Query,https://leetcode.com/problems/minimum-interval-to-include-each-query/,2022-04-06 19:35:18
Graphs,Easy,Find The Town Judge,https://leetcode.com/problems/find-the-town-judge/,2022-04-07 20:52:57
Graphs,Medium,Number Of Islands,https://leetcode.com/problems/number-of-islands/,2022-04-07 20:52:57
Graphs,Medium,Clone Graph,https://leetcode.com/problems/clone-graph/,2022-04-07 20:52:57
Graphs,Hard,Word Ladder,https://leetcode.com/problems/word-ladder/,2022-04-07 20:52:57
Backtracking,Easy,Binary Tree Paths,https://leetcode.com/problems/binary-tree-paths/,2022-04-08 19:53:05
Backtracking,Medium,Subsets,https://leetcode.com/problems/subsets/,2022-04-08 19:53:05
Backtracking,Medium,Combination Sum,https://leetcode.com/problems/combination-sum/,2022-04-08 19:53:05
Backtracking,Hard,N Queens,https://leetcode.com/problems/n-queens/,2022-04-08 19:53:05
Matrices,Easy,Check If Every Row And Column Contains All Numbers,https://leetcode.com/problems/check-if-every-row-and-column-contains-all-numbers/,2022-04-11 21:20:58
Matrices,Medium,Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,2022-04-11 21:20:58
Matrices,Medium,Word Search,https://leetcode.com/problems/word-search/,2022-04-11 21:20:58
Matrices,Hard,Problems,https://leetcode.com/problems/sudoku-solver,2022-04-11 21:20:58
Binary search trees,Easy,Lowest Common Ancestor Of A Binary Search Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,2022-04-13 05:42:07
Binary search trees,Medium,Kth Smallest Element In A Bst,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,2022-04-13 05:42:07
Binary search trees,Medium,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,2022-04-13 05:42:07
Binary search trees,Hard,Problems,https://leetcode.com/problems/number-of-ways-to-reorder-array-to-get-same-bst,2022-04-13 05:42:07
Graphs (with matrices),Easy,Problems,https://leetcode.com/problems/flood-fill,2022-04-14 02:42:13
Graphs (with matrices),Medium,Problems,https://leetcode.com/problems/01-matrix,2022-04-14 02:42:13
Graphs (with matrices),Medium,Problems,https://leetcode.com/problems/rotting-oranges,2022-04-14 02:42:13
Graphs (with matrices),Hard,Problems,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,2022-04-14 02:42:13
Binary tree bfs,Easy,Average Of Levels In Binary Tree,https://leetcode.com/problems/average-of-levels-in-binary-tree/,2022-04-14 23:59:56
Binary tree bfs,Medium,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,2022-04-14 23:59:56
Binary tree bfs,Medium,Binary Tree Level Order Traversal Ii,https://leetcode.com/problems/binary-tree-level-order-traversal-ii/,2022-04-14 23:59:56
Binary tree bfs,Medium,Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,2022-04-14 23:59:56
Two pointers,Easy,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,2022-04-18 06:17:04
Two pointers,Medium,Two Sum Ii Input Array Is Sorted,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,2022-04-18 06:17:04
Two pointers,Medium,3Sum,https://leetcode.com/problems/3sum/,2022-04-18 06:17:04
Two pointers,Hard,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,2022-04-18 06:17:04
One dimensional dp,Easy,Min Cost Climbing Stairs,https://leetcode.com/problems/min-cost-climbing-stairs/,2022-04-18 19:46:50
One dimensional dp,Medium,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,2022-04-18 19:46:50
One dimensional dp,Medium,Coin Change,https://leetcode.com/problems/coin-change/,2022-04-18 19:46:50
One dimensional dp,Medium,Palindromic Substrings,https://leetcode.com/problems/palindromic-substrings/,2022-04-18 19:46:50
Sliding window,Easy,Contains Duplicate Ii,https://leetcode.com/problems/contains-duplicate-ii/,2022-04-20 06:46:16
Sliding window,Medium,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement/,2022-04-20 06:46:16
Sliding window,Medium,Permutation In String,https://leetcode.com/problems/permutation-in-string/,2022-04-20 06:46:16
Sliding window,Hard,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,2022-04-20 06:46:16
Advanced graphs,Medium,Min Cost To Connect All Points,https://leetcode.com/problems/min-cost-to-connect-all-points/,2022-04-20 19:38:45
Advanced graphs,Medium,Network Delay Time,https://leetcode.com/problems/network-delay-time/,2022-04-20 19:38:45
2-dimensional dp,Medium,Coin Change 2,https://leetcode.com/problems/coin-change-2/,2022-04-22 01:10:54
